stt,buying,maint,doors,persons,lug_boot,safety,acceptability
355,vhigh,low,3,2,med,low,unacc
356,vhigh,low,3,2,med,med,unacc
357,vhigh,low,3,2,med,high,unacc
358,vhigh,low,3,2,big,low,unacc
359,vhigh,low,3,2,big,med,unacc
360,vhigh,low,3,2,big,high,unacc
361,vhigh,low,3,4,small,low,unacc
362,vhigh,low,3,4,small,med,unacc
363,vhigh,low,3,4,small,high,acc
364,vhigh,low,3,4,med,low,unacc
365,vhigh,low,3,4,med,med,unacc
366,vhigh,low,3,4,med,high,acc
367,vhigh,low,3,4,big,low,unacc
368,vhigh,low,3,4,big,med,acc
369,vhigh,low,3,4,big,high,acc
370,vhigh,low,3,more,small,low,unacc
371,vhigh,low,3,more,small,med,unacc
372,vhigh,low,3,more,small,high,acc
373,vhigh,low,3,more,med,low,unacc
374,vhigh,low,3,more,med,med,acc
375,vhigh,low,3,more,med,high,acc
376,vhigh,low,3,more,big,low,unacc
377,vhigh,low,3,more,big,med,acc
378,vhigh,low,3,more,big,high,acc
379,vhigh,low,4,2,small,low,unacc
380,vhigh,low,4,2,small,med,unacc
381,vhigh,low,4,2,small,high,unacc
382,vhigh,low,4,2,med,low,unacc
383,vhigh,low,4,2,med,med,unacc
384,vhigh,low,4,2,med,high,unacc
385,vhigh,low,4,2,big,low,unacc
386,vhigh,low,4,2,big,med,unacc
387,vhigh,low,4,2,big,high,unacc
388,vhigh,low,4,4,small,low,unacc
389,vhigh,low,4,4,small,med,unacc
390,vhigh,low,4,4,small,high,acc
391,vhigh,low,4,4,med,low,unacc
392,vhigh,low,4,4,med,med,acc
393,vhigh,low,4,4,med,high,acc
394,vhigh,low,4,4,big,low,unacc
395,vhigh,low,4,4,big,med,acc
396,vhigh,low,4,4,big,high,acc
397,vhigh,low,4,more,small,low,unacc
398,vhigh,low,4,more,small,med,unacc
399,vhigh,low,4,more,small,high,acc
400,vhigh,low,4,more,med,low,unacc
401,vhigh,low,4,more,med,med,acc
402,vhigh,low,4,more,med,high,acc
403,vhigh,low,4,more,big,low,unacc
404,vhigh,low,4,more,big,med,acc
405,vhigh,low,4,more,big,high,acc
406,vhigh,low,5more,2,small,low,unacc
407,vhigh,low,5more,2,small,med,unacc
408,vhigh,low,5more,2,small,high,unacc
409,vhigh,low,5more,2,med,low,unacc
410,vhigh,low,5more,2,med,med,unacc
411,vhigh,low,5more,2,med,high,unacc
412,vhigh,low,5more,2,big,low,unacc
413,vhigh,low,5more,2,big,med,unacc
414,vhigh,low,5more,2,big,high,unacc
415,vhigh,low,5more,4,small,low,unacc
416,vhigh,low,5more,4,small,med,unacc
417,vhigh,low,5more,4,small,high,acc
418,vhigh,low,5more,4,med,low,unacc
419,vhigh,low,5more,4,med,med,acc
420,vhigh,low,5more,4,med,high,acc
421,vhigh,low,5more,4,big,low,unacc
422,vhigh,low,5more,4,big,med,acc
423,vhigh,low,5more,4,big,high,acc
424,vhigh,low,5more,more,small,low,unacc
425,vhigh,low,5more,more,small,med,unacc
426,vhigh,low,5more,more,small,high,acc
427,vhigh,low,5more,more,med,low,unacc
428,vhigh,low,5more,more,med,med,acc
429,vhigh,low,5more,more,med,high,acc
430,vhigh,low,5more,more,big,low,unacc
431,vhigh,low,5more,more,big,med,acc
432,vhigh,low,5more,more,big,high,acc
433,high,vhigh,2,2,small,low,unacc
434,high,vhigh,2,2,small,med,unacc
435,high,vhigh,2,2,small,high,unacc
436,high,vhigh,2,2,med,low,unacc
437,high,vhigh,2,2,med,med,unacc
438,high,vhigh,2,2,med,high,unacc
439,high,vhigh,2,2,big,low,unacc
440,high,vhigh,2,2,big,med,unacc
441,high,vhigh,2,2,big,high,unacc
442,high,vhigh,2,4,small,low,unacc
443,high,vhigh,2,4,small,med,unacc
444,high,vhigh,2,4,small,high,unacc
445,high,vhigh,2,4,med,low,unacc
446,high,vhigh,2,4,med,med,unacc
447,high,vhigh,2,4,med,high,unacc
448,high,vhigh,2,4,big,low,unacc
449,high,vhigh,2,4,big,med,unacc
450,high,vhigh,2,4,big,high,unacc
451,high,vhigh,2,more,small,low,unacc
452,high,vhigh,2,more,small,med,unacc
453,high,vhigh,2,more,small,high,unacc
454,high,vhigh,2,more,med,low,unacc
455,high,vhigh,2,more,med,med,unacc
456,high,vhigh,2,more,med,high,unacc
457,high,vhigh,2,more,big,low,unacc
458,high,vhigh,2,more,big,med,unacc
459,high,vhigh,2,more,big,high,unacc
460,high,vhigh,3,2,small,low,unacc
461,high,vhigh,3,2,small,med,unacc
462,high,vhigh,3,2,small,high,unacc
463,high,vhigh,3,2,med,low,unacc
464,high,vhigh,3,2,med,med,unacc
465,high,vhigh,3,2,med,high,unacc
466,high,vhigh,3,2,big,low,unacc
467,high,vhigh,3,2,big,med,unacc
468,high,vhigh,3,2,big,high,unacc
469,high,vhigh,3,4,small,low,unacc
470,high,vhigh,3,4,small,med,unacc
471,high,vhigh,3,4,small,high,unacc
472,high,vhigh,3,4,med,low,unacc
473,high,vhigh,3,4,med,med,unacc
474,high,vhigh,3,4,med,high,unacc
475,high,vhigh,3,4,big,low,unacc
476,high,vhigh,3,4,big,med,unacc
477,high,vhigh,3,4,big,high,unacc
478,high,vhigh,3,more,small,low,unacc
479,high,vhigh,3,more,small,med,unacc
480,high,vhigh,3,more,small,high,unacc
481,high,vhigh,3,more,med,low,unacc
482,high,vhigh,3,more,med,med,unacc
483,high,vhigh,3,more,med,high,unacc
484,high,vhigh,3,more,big,low,unacc
485,high,vhigh,3,more,big,med,unacc
486,high,vhigh,3,more,big,high,unacc
487,high,vhigh,4,2,small,low,unacc
488,high,vhigh,4,2,small,med,unacc
489,high,vhigh,4,2,small,high,unacc
490,high,vhigh,4,2,med,low,unacc
491,high,vhigh,4,2,med,med,unacc
492,high,vhigh,4,2,med,high,unacc
493,high,vhigh,4,2,big,low,unacc
494,high,vhigh,4,2,big,med,unacc
495,high,vhigh,4,2,big,high,unacc
496,high,vhigh,4,4,small,low,unacc
497,high,vhigh,4,4,small,med,unacc
498,high,vhigh,4,4,small,high,unacc
499,high,vhigh,4,4,med,low,unacc
500,high,vhigh,4,4,med,med,unacc
501,high,vhigh,4,4,med,high,unacc
502,high,vhigh,4,4,big,low,unacc
503,high,vhigh,4,4,big,med,unacc
504,high,vhigh,4,4,big,high,unacc
505,high,vhigh,4,more,small,low,unacc
506,high,vhigh,4,more,small,med,unacc
507,high,vhigh,4,more,small,high,unacc
508,high,vhigh,4,more,med,low,unacc
509,high,vhigh,4,more,med,med,unacc
510,high,vhigh,4,more,med,high,unacc
511,high,vhigh,4,more,big,low,unacc
512,high,vhigh,4,more,big,med,unacc
513,high,vhigh,4,more,big,high,unacc
514,high,vhigh,5more,2,small,low,unacc
515,high,vhigh,5more,2,small,med,unacc
516,high,vhigh,5more,2,small,high,unacc
517,high,vhigh,5more,2,med,low,unacc
518,high,vhigh,5more,2,med,med,unacc
519,high,vhigh,5more,2,med,high,unacc
520,high,vhigh,5more,2,big,low,unacc
521,high,vhigh,5more,2,big,med,unacc
522,high,vhigh,5more,2,big,high,unacc
523,high,vhigh,5more,4,small,low,unacc
524,high,vhigh,5more,4,small,med,unacc
525,high,vhigh,5more,4,small,high,unacc
526,high,vhigh,5more,4,med,low,unacc
527,high,vhigh,5more,4,med,med,unacc
528,high,vhigh,5more,4,med,high,unacc
529,high,vhigh,5more,4,big,low,unacc
530,high,vhigh,5more,4,big,med,unacc
